id,AirportId,Measure,Value,date
9,PTP,pres,5.691115,2022-01-13
9,PTP,pres,5.746497,2022-01-13
9,PTP,pres,5.780100,2022-01-13
9,PTP,pres,5.743329,2022-01-13
9,PTP,pres,5.747274,2022-01-13
9,PTP,pres,5.750437,2022-01-13
9,PTP,pres,5.707289,2022-01-13
9,PTP,pres,5.730244,2022-01-13
9,PTP,pres,5.777298,2022-01-13
9,PTP,pres,5.800784,2022-01-13
9,PTP,pres,5.909332,2022-01-13
9,PTP,pres,6.055749,2022-01-13
9,PTP,pres,6.186310,2022-01-13
9,PTP,pres,6.402951,2022-01-13
9,PTP,pres,6.651613,2022-01-13
9,PTP,pres,6.872152,2022-01-13
9,PTP,pres,7.160813,2022-01-13
9,PTP,pres,7.458973,2022-01-13
9,PTP,pres,7.703497,2022-01-13
9,PTP,pres,7.989291,2022-01-13
9,PTP,pres,8.258076,2022-01-13
9,PTP,pres,8.448952,2022-01-13
9,PTP,pres,8.660588,2022-01-13
9,PTP,pres,8.839755,2022-01-13
9,PTP,pres,8.931708,2022-01-13
9,PTP,pres,9.041783,2022-01-13
9,PTP,pres,9.123525,2022-01-13
9,PTP,pres,9.128686,2022-01-13
9,PTP,pres,9.168286,2022-01-13
9,PTP,pres,9.200323,2022-01-13
9,PTP,pres,9.179637,2022-01-13
9,PTP,pres,9.218603,2022-01-13
9,PTP,pres,9.274769,2022-01-13
9,PTP,pres,9.300853,2022-01-13
9,PTP,pres,9.405483,2022-01-13
9,PTP,pres,9.541060,2022-01-13
9,PTP,pres,9.654273,2022-01-13
9,PTP,pres,9.847099,2022-01-13
9,PTP,pres,10.065103,2022-01-13
9,PTP,pres,10.248599,2022-01-13
9,PTP,pres,10.493923,2022-01-13
9,PTP,pres,10.742100,2022-01-13
9,PTP,pres,10.930507,2022-01-13
9,PTP,pres,11.154139,2022-01-13
9,PTP,pres,11.354479,2022-01-13
9,PTP,pres,11.471131,2022-01-13
9,PTP,pres,11.602911,2022-01-13
9,PTP,pres,11.696357,2022-01-13
9,PTP,pres,11.697279,2022-01-13
9,PTP,pres,11.711208,2022-01-13
9,PTP,pres,11.691453,2022-01-13
9,PTP,pres,11.590371,2022-01-13
9,PTP,pres,11.519206,2022-01-13
9,PTP,pres,11.435744,2022-01-13
9,PTP,pres,11.295459,2022-01-13
9,PTP,pres,11.210956,2022-01-13
9,PTP,pres,11.139603,2022-01-13
9,PTP,pres,11.034755,2022-01-13
9,PTP,pres,11.005297,2022-01-13
9,PTP,pres,11.003476,2022-01-13
9,PTP,pres,10.976636,2022-01-13
9,PTP,pres,1.078895,2022-01-13
