id,AirportId,Measure,Value,date
9,PTP,pres,1013.071891,2022-01-16
9,PTP,pres,1013.092093,2022-01-16
9,PTP,pres,1013.057867,2022-01-16
9,PTP,pres,1013.014754,2022-01-16
9,PTP,pres,1013.023683,2022-01-16
9,PTP,pres,1012.982825,2022-01-16
9,PTP,pres,1012.938209,2022-01-16
9,PTP,pres,1012.950834,2022-01-16
9,PTP,pres,1012.918615,2022-01-16
9,PTP,pres,1012.887033,2022-01-16
9,PTP,pres,1012.916160,2022-01-16
9,PTP,pres,1012.902787,2022-01-16
9,PTP,pres,1012.891144,2022-01-16
9,PTP,pres,1012.939917,2022-01-16
9,PTP,pres,1012.944539,2022-01-16
9,PTP,pres,1012.948081,2022-01-16
9,PTP,pres,1013.008131,2022-01-16
9,PTP,pres,1013.019355,2022-01-16
9,PTP,pres,1013.024429,2022-01-16
9,PTP,pres,1013.080787,2022-01-16
9,PTP,pres,1013.083341,2022-01-16
9,PTP,pres,1013.075414,2022-01-16
9,PTP,pres,1013.115276,2022-01-16
9,PTP,pres,1013.098959,2022-01-16
9,PTP,pres,1013.071127,2022-01-16
9,PTP,pres,1013.091358,2022-01-16
9,PTP,pres,1013.057014,2022-01-16
9,PTP,pres,1013.014051,2022-01-16
9,PTP,pres,1013.023021,2022-01-16
9,PTP,pres,1012.982052,2022-01-16
9,PTP,pres,1012.937608,2022-01-16
9,PTP,pres,1012.950291,2022-01-16
9,PTP,pres,1012.917970,2022-01-16
9,PTP,pres,1012.886576,2022-01-16
9,PTP,pres,1012.915771,2022-01-16
9,PTP,pres,1012.902302,2022-01-16
9,PTP,pres,1012.890853,2022-01-16
9,PTP,pres,1012.939693,2022-01-16
9,PTP,pres,1012.944215,2022-01-16
9,PTP,pres,1012.947949,2022-01-16
9,PTP,pres,1013.008059,2022-01-16
9,PTP,pres,1013.019169,2022-01-16
